@relation whatever

@attribute Distancia_CA1 numeric
@attribute Distancia_CA2 numeric
@attribute Distancia_CA3 numeric
@attribute Distancia_CA4 numeric
@attribute Distancia_A+C1 numeric
@attribute Distancia_A+C2 numeric
@attribute Distancia_A+C3 numeric
@attribute Distancia_A+C4 numeric
@attribute Distancia_CA1-CA2 numeric
@attribute Distancia_CA1-CA3 numeric
@attribute Distancia_CA1-CA4 numeric
@attribute Distancia_CA2-CA3 numeric
@attribute Distancia_CA2-CA4 numeric
@attribute Distancia_CA3-CA4 numeric
@attribute Distancia_AC1-AC2 numeric
@attribute Distancia_AC1-AC3 numeric
@attribute Distancia_AC1-AC4 numeric
@attribute Distancia_AC2-AC3 numeric
@attribute Distancia_AC2-AC4 numeric
@attribute Distancia_AC3-AC4 numeric
@attribute Angulo_CA1-C_1 numeric
@attribute Angulo_CA2-C_2 numeric
@attribute Angulo_CA3-C_3 numeric
@attribute Angulo_CA4-C_4 numeric
@attribute Angulo_CA1-CA2 numeric
@attribute Angulo_CA1-CA3 numeric
@attribute Angulo_CA1-CA4 numeric
@attribute Angulo_CA2-CA3 numeric
@attribute Angulo_CA2-CA4 numeric
@attribute Angulo_CA3-CA4 numeric
@attribute Angulo_AC1-AC2 numeric
@attribute Angulo_AC1-AC3 numeric
@attribute Angulo_AC1-AC4 numeric
@attribute Angulo_AC2-AC3 numeric
@attribute Angulo_AC2-AC4 numeric
@attribute Angulo_AC3-AC4 numeric
@attribute Torsion_aa1 numeric
@attribute Torsion_aa2 numeric
@attribute Torsion_aa3 numeric
@attribute Torsion_aa4 numeric
@attribute Phi_aa1 numeric
@attribute Phi_aa2 numeric
@attribute Phi_aa3 numeric
@attribute Psi_aa1 numeric
@attribute Psi_aa2 numeric
@attribute Psi_aa3 numeric
@attribute Omega_aa1 numeric
@attribute Omega_aa2 numeric
@attribute Omega_aa3 numeric
@attribute Hidrofobicidad_H numeric
@attribute Hidrofobicidad_K numeric
@attribute Hidrofobicidad_W numeric
@attribute Total_Aminoacidos numeric
@attribute No_Polares numeric
@attribute Polares_Neutros numeric
@attribute Polares_Positivos numeric
@attribute Polares_Negativos numeric
@attribute O_c3 numeric
@attribute C_c3 numeric
@attribute atomos_c3 numeric
@attribute N_c4 numeric
@attribute O_c4 numeric
@attribute C_c4 numeric
@attribute atomos_c4 numeric
@attribute atomos_sitio numeric
@attribute C-C numeric
@attribute C-O numeric
@attribute C-N numeric
@attribute O-O numeric
@attribute O-N numeric
@attribute N-N numeric
@attribute Inter_totales numeric
@attribute Desvi_est_int numeric
@attribute Inter_funci numeric
@attribute Desv_est_fun numeric
@attribute energia_captacion_c3 numeric
@attribute energia_captacion_c4 numeric
@attribute energia_captacion_4aa numeric
@attribute Radio_Sitio_Menor numeric
@attribute Radio_Sitio_Mayor numeric
@attribute Radio_Sitio_Prom numeric
@attribute Radio_Sitio_Desvi numeric
@attribute Total_aa_sitio numeric
@attribute volumen_c3 numeric
@attribute volumen_c4 numeric
@attribute Smallest_alpha numeric
@attribute Optimal_alpha numeric
@attribute class {1,0}


@data
2.10047006959 , 4.91769540393 , 5.06424935098 , 5.11556544022 , 2.10047006959 , 4.91769540393 , 3.91987951207 , 4.28132617907 , 6.80057473997 , 3.83035920792 , 6.96913379713 , 9.59538454889 , 3.77374739178 , 8.26269911515 , 6.80057473997 , 2.43191444825 , 6.02948232823 , 8.56211798069 , 4.99641652501 , 6.58643998058 , 46.1983164651 , 72.3285749049 , 72.7700689501 , 34.0946569269 , 148.699450469 , 43.6762105747 , 146.827385874 , 148.001598576 , 44.1326201442 , 108.518728112 , 148.699450469 , 32.661896651 , 139.18987153 , 151.125897053 , 65.3695614517 , 106.772819241 , 187.053496354 , 227.038290588 , 23.4737995291 , 259.75173681 , 54.231886767 , 228.943934842 , 193.508074529 , 319.73511723 , 4.55296726082 , 24.3237640925 , 1 , -1 , -1 , 26.45 , -25.3 , -4.92 , 15 , 20.0 , 40.0 , 20.0 , 20.0 , 27.0 , 36.0 , 11 , 13.0 , 13.0 , 73.0 , 15 , 35 , 440 , 300 , 388 , 146 , 84 , 50 , 1408 , 163.332789115 , 322 , 16.7988094816 , 48.4 , 94.0 , 84.0 , 1.12689824073 , 7.15551109355 , 4.88073661021 , 1.5350379576 , 15 , 1157.3 , 1876.93 , 5.63429 , 6.47796 , 1 
2.35634415582 , 4.53933552218 , 5.24506625176 , 5.51736712854 , 2.35634415582 , 4.53933552218 , 4.28732292611 , 5.51736712854 , 6.80057473997 , 6.96913379713 , 5.82148085285 , 3.77374739178 , 8.34248449723 , 9.94813366896 , 6.80057473997 , 6.27448881517 , 5.82148085285 , 2.41417789068 , 8.34248449723 , 8.9428115842 , 38.0604645218 , 64.8785665378 , 35.0661217806 , 43.7825489598 , 159.902674652 , 128.850961182 , 85.3585363966 , 44.651904736 , 111.73618877 , 135.12254517 , 159.902674652 , 139.814744394 , 85.3585363966 , 31.5816876256 , 111.73618877 , 131.182542103 , 187.053496354 , 222.739133928 , 354.111699108 , 182.671780355 , 54.231886767 , 228.943934842 , 230.905388676 , 319.73511723 , 4.55296726082 , 57.8840336853 , 1 , -1 , -1 , 28.82 , -24.6 , -7.01 , 17 , 23.5294117647 , 35.2941176471 , 17.6470588235 , 23.5294117647 , 18.0 , 54.0 , 11 , 25.0 , 16.0 , 58.0 , 12 , 32 , 390 , 284 , 362 , 148 , 84 , 50 , 1318 , 148.846901211 , 242 , 14.1374207926 , 53.2 , 100.3 , 106.0 , 0.585374603891 , 7.68768332067 , 5.20543706971 , 1.6290370148 , 17 , 988.74 , 1468.03 , 11.331 , 11.331 , 0 
2.94867651158 , 3.81098393984 , 4.19167376265 , 4.70047314029 , 2.94867651158 , 3.19272998622 , 3.53392655614 , 3.66090354204 , 5.4259138768 , 3.83035920792 , 6.96913379713 , 3.83471031685 , 5.56107824544 , 8.26269911515 , 4.22136417203 , 2.43191444825 , 6.21300740503 , 2.75978087659 , 4.84841998098 , 6.63457250284 , 86.3567016715 , 59.0106736762 , 83.160093016 , 33.1097834365 , 106.072621594 , 62.0316624599 , 129.895896823 , 57.0253160363 , 80.8576460639 , 136.550158595 , 86.7473986757 , 42.8905768626 , 139.859536918 , 48.114902224 , 89.7829316604 , 134.471642503 , 143.903716845 , 356.560425841 , 23.4737995291 , 231.536784022 , 54.231886767 , 75.8584954864 , 193.508074529 , 319.73511723 , 319.401047503 , 24.3237640925 , 1 , 1 , -1 , 21.49 , -16.1 , -3.52 , 14 , 28.5714285714 , 35.7142857143 , 14.2857142857 , 21.4285714286 , 15.0 , 53.0 , 13 , 10.0 , 26.0 , 63.0 , 19 , 44 , 508 , 320 , 464 , 154 , 96 , 44 , 1586 , 189.497229531 , 384 , 19.5720889704 , 78.4 , 124.0 , 78.8 , 2.37025154444 , 5.35600859557 , 4.54866250211 , 1.26859900041 , 14 , 1254.81 , 1816.66 , 6.56939 , 9.44558 , 1 
2.70728646507 , 4.12161575558 , 4.34746671037 , 4.74576181808 , 2.70728646507 , 3.45843193314 , 3.56799814955 , 3.80757101847 , 5.4259138768 , 3.83035920792 , 6.96913379713 , 3.83471031685 , 5.56107824544 , 8.26269911515 , 4.22136417203 , 2.43191444825 , 6.21300740503 , 2.75978087659 , 4.84841998098 , 6.63457250284 , 78.0885696849 , 57.4701342141 , 80.1719914764 , 31.9605573086 , 103.272178401 , 60.5930150965 , 136.752444009 , 53.7652381889 , 77.3241612368 , 130.59245373 , 85.4968808585 , 42.9275701005 , 144.453873559 , 46.2214735372 , 83.5661188101 , 128.164282056 , 143.903716845 , 356.560425841 , 23.4737995291 , 15.5868469214 , 54.231886767 , 75.8584954864 , 193.508074529 , 319.73511723 , 319.401047503 , 24.3237640925 , 1 , 1 , -1 , 24.2 , -20.0 , -4.51 , 15 , 26.6666666667 , 33.3333333333 , 20.0 , 20.0 , 20.0 , 53.0 , 15 , 11.0 , 22.0 , 66.0 , 18 , 44 , 540 , 340 , 470 , 162 , 96 , 52 , 1660 , 197.662338345 , 412 , 18.9842039601 , 78.4 , 124.0 , 78.8 , 2.33810072105 , 7.18161816702 , 4.72742782858 , 1.35027508114 , 15 , 1274.73 , 1837.1 , 5.70708 , 9.31621 , 1 
2.9098545388 , 4.17670321516 , 4.46498296219 , 4.68982180556 , 2.9098545388 , 3.55908229557 , 3.73693450382 , 3.73724967502 , 5.4259138768 , 3.83035920792 , 6.96913379713 , 3.83471031685 , 5.56107824544 , 8.26269911515 , 4.22136417203 , 2.43191444825 , 6.21300740503 , 2.75978087659 , 4.84841998098 , 6.63457250284 , 80.9678026142 , 60.3982088772 , 81.2285501167 , 30.0820208745 , 98.3465574259 , 58.0993341945 , 131.561667636 , 52.5572019988 , 77.4483854918 , 128.974987967 , 80.7921146107 , 40.5789842974 , 138.015715019 , 44.3682803364 , 83.2496667678 , 125.162592011 , 143.903716845 , 356.560425841 , 23.4737995291 , 231.536784022 , 54.231886767 , 75.8584954864 , 193.508074529 , 319.73511723 , 319.401047503 , 24.3237640925 , 1 , 1 , -1 , 24.2 , -20.0 , -4.51 , 15 , 26.6666666667 , 33.3333333333 , 20.0 , 20.0 , 17.0 , 58.0 , 17 , 12.0 , 25.0 , 62.0 , 16 , 44 , 542 , 340 , 476 , 162 , 96 , 52 , 1668 , 198.969344372 , 414 , 18.7723200484 , 78.4 , 124.0 , 78.8 , 2.44268941004 , 7.18865011088 , 4.73658966412 , 1.35500335796 , 15 , 1275.82 , 1848.34 , 5.74581 , 9.31621 , 1 
2.40554044561 , 4.59561641668 , 4.62012859883 , 4.87141465948 , 2.40554044561 , 3.88006076678 , 3.68069798351 , 4.08694691935 , 5.4259138768 , 3.83035920792 , 6.96913379713 , 3.83471031685 , 5.56107824544 , 8.26269911515 , 4.22136417203 , 2.43191444825 , 6.21300740503 , 2.75978087659 , 4.84841998098 , 6.63457250284 , 65.4375424733 , 55.2751068631 , 76.3735027093 , 31.2106970814 , 96.5816858151 , 55.903788183 , 144.379279067 , 49.1768606457 , 71.8805342536 , 121.018496647 , 80.6848339347 , 40.7257504825 , 145.02548924 , 42.7150825524 , 74.9208129902 , 117.231690775 , 143.903716845 , 356.560425841 , 23.4737995291 , 15.5868469214 , 54.231886767 , 75.8584954864 , 193.508074529 , 319.73511723 , 319.401047503 , 24.3237640925 , 1 , 1 , -1 , 24.09 , -21.8 , -4.34 , 14 , 21.4285714286 , 35.7142857143 , 21.4285714286 , 21.4285714286 , 25.0 , 58.0 , 12 , 18.0 , 18.0 , 62.0 , 16 , 39 , 510 , 318 , 424 , 150 , 80 , 50 , 1532 , 183.765611582 , 396 , 18.1273274368 , 71.9 , 117.5 , 78.8 , 1.94017159185 , 7.10231921788 , 4.63616152072 , 1.3700359266 , 14 , 1007.51 , 1845.81 , 4.82518 , 9.56812 , 1 
2.09726818438 , 4.84011820743 , 5.14403074848 , 5.15189232469 , 2.09726818438 , 4.84011820743 , 4.3148210727 , 3.98049634031 , 6.80057473997 , 6.96913379713 , 3.83035920792 , 3.77374739178 , 9.59538454889 , 8.26269911515 , 6.80057473997 , 6.27448881517 , 2.43191444825 , 2.41417789068 , 8.56211798069 , 7.46202321139 , 43.3825563688 , 70.7599608351 , 35.0502275665 , 72.6220223152 , 155.151555748 , 145.160227457 , 41.1623853327 , 44.2861642501 , 147.58871431 , 106.743099574 , 155.151555748 , 154.628239542 , 30.885720139 , 29.8801706478 , 152.053586382 , 128.151771101 , 187.053496354 , 222.739133928 , 275.187597094 , 16.3830749702 , 54.231886767 , 228.943934842 , 230.905388676 , 319.73511723 , 4.55296726082 , 57.8840336853 , 1 , -1 , -1 , 26.45 , -25.3 , -4.92 , 15 , 20.0 , 40.0 , 20.0 , 20.0 , 27.0 , 36.0 , 11 , 14.0 , 14.0 , 71.0 , 14 , 34 , 406 , 288 , 370 , 146 , 84 , 50 , 1344 , 153.271001824 , 288 , 14.9153165125 , 48.4 , 87.5 , 84.0 , 1.04680921075 , 7.09723356622 , 4.91312832522 , 1.50918218008 , 15 , 1189.36 , 1614.24 , 5.63429 , 6.47796 , 1 
2.18235234086 , 4.67206852827 , 5.38406179685 , 5.39399293235 , 2.18235234086 , 4.67206852827 , 5.38406179685 , 4.4379634209 , 6.80057473997 , 3.84221044706 , 6.96913379713 , 9.77441102737 , 3.77374739178 , 10.6724417522 , 6.80057473997 , 3.84221044706 , 6.27448881517 , 9.77441102737 , 2.41417789068 , 9.81730100817 , 34.689528646 , 64.4501074327 , 140.026408836 , 36.8603464658 , 164.567287742 , 36.0976442293 , 128.671317372 , 152.742131488 , 43.2985746658 , 163.944954747 , 164.567287742 , 36.0976442293 , 140.334519597 , 152.742131488 , 30.5961167319 , 176.429131025 , 187.053496354 , 212.027568582 , 213.70139506 , 275.187597094 , 54.231886767 , 228.943934842 , 75.9097527271 , 319.73511723 , 4.55296726082 , 356.408906606 , 1 , -1 , 1 , 26.11 , -20.7 , -6.02 , 16 , 25.0 , 37.5 , 12.5 , 25.0 , 30.0 , 30.0 , 10 , 14.0 , 14.0 , 71.0 , 14 , 32 , 392 , 290 , 348 , 140 , 74 , 50 , 1294 , 147.987161605 , 254 , 15.7522485167 , 46.7 , 93.8 , 84.0 , 1.19095179865 , 7.57288832543 , 5.13855397193 , 1.58270547942 , 16 , 1123.33 , 1437.16 , 11.331 , 11.331 , 0 
2.118797548 , 4.73187218732 , 5.32296999076 , 5.4493534138 , 2.118797548 , 4.73187218732 , 5.32296999076 , 4.49777220168 , 6.80057473997 , 3.84221044706 , 6.96913379713 , 9.77441102737 , 3.77374739178 , 10.6724417522 , 6.80057473997 , 3.84221044706 , 6.27448881517 , 9.77441102737 , 2.41417789068 , 9.81730100817 , 33.7549651156 , 64.4575260082 , 139.768795026 , 37.2073587995 , 164.993245699 , 36.8044055604 , 128.52811672 , 152.824731378 , 42.7909997538 , 164.382122565 , 164.993245699 , 36.8044055604 , 140.231333512 , 152.824731378 , 30.1898432837 , 176.955604604 , 187.053496354 , 212.027568582 , 213.70139506 , 275.187597094 , 54.231886767 , 228.943934842 , 75.9097527271 , 319.73511723 , 4.55296726082 , 356.408906606 , 1 , -1 , 1 , 26.11 , -20.7 , -6.02 , 16 , 25.0 , 37.5 , 12.5 , 25.0 , 30.0 , 30.0 , 10 , 14.0 , 14.0 , 71.0 , 14 , 32 , 392 , 290 , 348 , 140 , 74 , 50 , 1294 , 147.987161605 , 254 , 15.7522485167 , 46.7 , 93.8 , 84.0 , 1.19095179865 , 7.57288832543 , 5.13855397193 , 1.58270547942 , 16 , 1114.89 , 1429.3 , 11.331 , 11.331 , 1 
2.28011059087 , 4.66421159188 , 5.22721996585 , 5.37757945978 , 2.28011059087 , 4.66421159188 , 5.22721996585 , 5.37757945978 , 6.80057473997 , 3.84221044706 , 5.82148085285 , 9.77441102737 , 8.34248449723 , 5.13737234421 , 6.80057473997 , 3.84221044706 , 5.82148085285 , 9.77441102737 , 8.34248449723 , 5.13737234421 , 28.6411446071 , 59.8482142541 , 134.207386856 , 46.2643929889 , 155.108733543 , 41.8359328173 , 89.4681640717 , 162.327074399 , 112.162607451 , 57.9305658569 , 155.108733543 , 41.8359328173 , 89.4681640717 , 162.327074399 , 112.162607451 , 57.9305658569 , 187.053496354 , 212.027568582 , 294.148087497 , 171.858906075 , 54.231886767 , 228.943934842 , 75.9097527271 , 319.73511723 , 4.55296726082 , 356.408906606 , 1 , -1 , 1 , 26.66 , -24.5 , -6.58 , 15 , 20.0 , 40.0 , 13.3333333333 , 26.6666666667 , 11.0 , 44.0 , 9 , 18.0 , 18.0 , 63.0 , 11 , 29 , 288 , 234 , 298 , 126 , 68 , 46 , 1060 , 116.944431248 , 180 , 14.2968528005 , 47.7 , 82.8 , 84.0 , 0.953897966911 , 7.310113923 , 5.0779179122 , 1.5751904929 , 15 , 1130.24 , 1330.99 , 11.331 , 11.331 , 1 
